longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.35,40.54,52,1820,300,806,270,3.01,94600,NEAR OCEAN
-124.3,41.8,19,2672,552,1298,478,1.98,85800,NEAR OCEAN
-124.3,41.84,17,2677,531,1244,456,3.03,103600,NEAR OCEAN
-124.27,40.69,36,2349,528,1194,465,2.52,79000,NEAR OCEAN
-124.26,40.58,52,2217,394,907,369,2.36,111400,NEAR OCEAN
-124.25,40.28,32,1430,419,434,187,1.94,76100,NEAR OCEAN
-124.23,40.54,52,2694,453,1152,435,3.08,106700,NEAR OCEAN
-124.23,40.81,52,1112,209,544,172,3.35,50800,NEAR OCEAN
-124.23,41.75,11,3159,616,1343,479,2.48,73200,NEAR OCEAN
-124.22,41.73,28,3003,699,1530,653,1.7,78300,NEAR OCEAN
-124.21,40.75,32,1218,331,620,268,1.65,58100,NEAR OCEAN
-124.21,41.75,20,3810,787,1993,721,2.01,66900,NEAR OCEAN
-124.21,41.77,17,3461,722,1947,647,2.58,68400,NEAR OCEAN
-124.19,40.73,21,5694,1056,2907,972,3.54,90100,NEAR OCEAN
-124.19,40.77,30,2975,634,1367,583,2.44,69000,NEAR OCEAN
-124.19,40.78,37,1371,319,640,260,1.82,70000,NEAR OCEAN
-124.19,41.78,15,3140,714,1645,640,1.67,74600,NEAR OCEAN
-124.18,40.62,35,952,178,480,179,3.05,107000,NEAR OCEAN
-124.18,40.78,34.67,1373.67,293,824.33,287.67,2.41,69800,NEAR OCEAN
-124.18,40.79,39.5,1617,331.5,835.5,308,1.61,67550,NEAR OCEAN
-124.17,40.62,32,1595,309,706,277,2.9,86400,NEAR OCEAN
-124.17,40.74,17,2026,338,873,313,4.04,128900,NEAR OCEAN
-124.17,40.75,13,2171,339,951,353,4.85,116100,NEAR OCEAN
-124.17,40.76,26,1776,361,992,380,2.81,82800,NEAR OCEAN
-124.17,40.77,30,1895,366,990,359,2.22,81300,NEAR OCEAN
-124.17,40.78,39,1606,330,731,327,1.64,68300,NEAR OCEAN
-124.17,40.79,43,2285,479,1169,482,1.97,70500,NEAR OCEAN
-124.17,40.8,52,1274.67,359.67,680.33,310,1.46,66000,NEAR OCEAN
-124.17,41.76,20,2673,538,1282,514,2.46,105900,NEAR OCEAN
-124.17,41.8,16,2739,480,1259,436,3.76,109400,NEAR OCEAN
-124.16,40.6,39,1322,283,642,292,2.45,85100,NEAR OCEAN
-124.16,40.77,35,2141,438,1053,434,2.85,85600,NEAR OCEAN
-124.16,40.95,20,1075,214,529,196,3.14,96000,NEAR OCEAN
-124.16,41.02,23,1672,385,1060,390,2.17,75500,NEAR OCEAN
-124.16,41.74,15,2715,569,1532,530,2.18,69500,NEAR OCEAN
-124.16,41.92,19,1668,324,841,283,2.13,75000,NEAR OCEAN
-124.15,40.59,39,1186,238,539,212,2.09,79600,NEAR OCEAN
-124.15,40.76,24,2858,511,1388,512,3.38,100600,NEAR OCEAN
-124.15,40.78,38.5,2119.5,366,870,358.5,3.28,97100,NEAR OCEAN
-124.15,40.79,37,2692,488,1263,486,3.02,86400,NEAR OCEAN
-124.15,40.8,47,1486,335,765,329,1.76,74100,NEAR OCEAN
-124.15,40.81,50,340,74,235,83,1.75,67500,NEAR OCEAN
-124.15,40.88,33,2235,506,1165,441,1.73,57500,NEAR OCEAN
-124.15,41.81,17,3276,628,3546,585,2.29,103100,NEAR OCEAN
-124.14,40.57,29,2864,600,1314,562,2.14,75100,<1H OCEAN
-124.14,40.58,25,1899,357,891,355,2.7,92500,<1H OCEAN
-124.14,40.59,19.5,2325,507.5,1185,483,1.87,71800,NEAR OCEAN
-124.14,40.6,27,1148,206,521,219,4.03,128100,NEAR OCEAN
-124.14,40.67,23,580,117,320,109,4.21,130600,NEAR OCEAN
-124.14,40.72,18,2581,499,1375,503,2.84,100500,NEAR OCEAN
-124.14,40.77,27,3046,605,1407,571,2.91,99600,NEAR OCEAN
-124.14,40.78,35,2426,423,982,432,3.42,92800,NEAR OCEAN
-124.14,40.79,38,1552,290,873,291,2.49,81000,NEAR OCEAN
-124.14,40.8,32,1373,312,872,306,2.5,72600,NEAR OCEAN
-124.14,41.06,32,1020,215,421,198,3.02,143400,NEAR OCEAN
-124.14,41.95,21,2696,578,1208,494,2.28,122400,NEAR OCEAN
-124.13,40.55,38,544,600,240,91,3.25,94800,<1H OCEAN
-124.13,40.62,43,2131,399,910,389,2.58,92100,NEAR OCEAN
-124.13,40.78,34,2142,420,1056,382,2.11,86900,NEAR OCEAN
-124.13,40.79,30.5,2245.5,406,992.5,386.5,3.23,87900,NEAR OCEAN
-124.13,40.8,31,2152,462,1259,420,2.25,81100,NEAR OCEAN
-124.11,40.57,33,1348,234,573,236,2.49,74100,<1H OCEAN
-124.11,40.81,23,959,212,425,175,2.55,96100,NEAR OCEAN
-124.11,40.93,21,2026.5,401.5,1123,409,3.14,81900,NEAR OCEAN
-124.11,40.95,19,1734,365,866,342,2.96,81700,NEAR OCEAN
-124.1,40.47,52,1196,236,965,265,3.53,55000,<1H OCEAN
-124.1,40.5,36,2153.5,473,1148,439,2,64900,<1H OCEAN
-124.1,40.73,33,644,129,334,121,3.97,111800,NEAR OCEAN
-124.1,40.88,35,2987,578,1581,585,2.07,81100,NEAR OCEAN
-124.1,40.9,18,4032,798,1948,775,2.73,92600,NEAR OCEAN
-124.1,40.95,17,1485,345,823,316,1.9,78400,NEAR OCEAN
-124.1,41.04,26,1633,380,890,370,1.97,97900,NEAR OCEAN
-124.09,40.44,38,2220,426,1041,401,2.39,70500,<1H OCEAN
-124.09,40.55,24,2978,553,1370,480,2.76,97300,<1H OCEAN
-124.09,40.86,25,1322,387,794,379,1.17,75000,NEAR OCEAN
-124.09,40.87,44,692,206,398,211,1.16,87500,NEAR OCEAN
-124.09,40.92,12,2497,491,1153,462,2.82,126900,NEAR OCEAN
-124.09,40.95,18,2250,484,1248,472,2.59,99600,NEAR OCEAN
-124.08,40.06,17,1319,267,393,163,2.63,135600,NEAR OCEAN
