"","kg_km2","X","Y","X.utm","Y.utm","month","year","depth","CHL","TMP_sst","TMP_bot","dox.bot","nit","pho","sal","poc"
"20939",7.4857639007538,13.3848333333333,45.1200833333333,372.963806802815,4997.56110165838,7,2018,36,0.224063713242698,26.043628692627,19.7076511383057,239.657623291016,0.0133786902322617,0.0185427601894481,38.5887487956491,23.537425994873
"21018",11.4592284295407,13.4063333333333,45.3648333333333,375.191855269828,5024.71169311757,7,2018,26.5,0.128789250160818,25.9431304931641,22.9974632263184,245.417541503906,0.177280979479101,0.0154123563172064,38.6223910843856,17.8039894104004
"21019",10.8605994315596,13.4350833333333,45.1739166666667,377.035672671211,5003.45993121712,7,2018,32,0.169480277030436,25.9662399291992,21.7458782196045,237.668228149414,0.0192409504119377,0.0149958317961728,38.5966815862455,23.2143421173096
"31558",13.6624208959532,12.831,44.0415,326.222157288896,4878.76937165519,8,2018,13.5,0.191076432540355,28.1613636016846,28.8835315704346,203.521377563477,2.56200806224419,0.0362159898102739,35.9555297745251,23.7169342041016
"31723",7.45240596219902,15.1115,42.0248333333333,509.230579011487,4652.53575909549,8,2018,24.5,0.125584094914971,28.0417861938477,24.0994129180908,235.758651733398,1.15764926237958,0.0149591506760388,37.1873182186821,15.1280012130737
"32206",11.2129231664231,14.8819166666667,42.1195833333333,490.237574554334,4663.06216257233,8,2018,21.5,0.126853918611904,28.0866050720215,21.3216228485107,233.944595336914,1.4257461206217,0.0165692001896441,37.1132240737865,14.5632820129395
"32834",8.74538646371108,14.4488333333333,42.3923333333333,454.632318647928,4693.48146863565,8,2018,22.5,0.0871999294962161,27.8902263641357,27.6499843597412,187.429733276367,1.91920720549359,0.0126614046937143,36.4213626230464,8.78484058380127
"32835",9.36796744281649,14.0683333333333,42.7909166666667,423.801397955486,4738.01591175954,8,2018,17,0.133999242654288,27.9536972045898,26.1742115020752,221.077941894531,1.97086607416289,0.017333703467091,36.3890700509937,14.9995355606079
"32958",10.8920419748426,13.9429166666667,43.22575,414.15339309605,4786.43240355272,8,2018,20,0.150981884397101,27.8244667053223,21.2844543457031,241.337921142578,1.13758167667831,0.0201060322234042,37.3759326933199,18.4252433776855
"32959",9.86792387414053,13.8300833333333,43.3665833333333,405.211861338683,4802.19095839257,8,2018,14.5,0.149093473759389,28.1165351867676,28.2882518768311,175.45622253418,2.6384767493207,0.0151713026392023,35.5413972203229,13.337700843811
"32990",11.3969054982086,13.80825,43.5001666666667,403.649672165052,4817.05343545247,8,2018,19.5,0.151930947672976,27.8859043121338,22.176441192627,238.608764648438,1.63451379694835,0.0227714969594689,36.711288740723,18.6475505828857
"33009",9.65996210779662,13.2755833333333,44.45975,362.819494528371,4924.38996926707,8,2018,47.5,0.188962763291422,27.4154529571533,16.1845588684082,232.915054321289,0.0125850020944955,0.0192572754798977,38.660600401336,14.5449438095093
"33018",10.2984789884118,12.3999166666667,44.6855,293.953502585032,4951.30323295432,8,2018,16,0.716476838487587,28.0244903564453,26.1255149841309,426.693511962891,9.65238059969111,0.165063636534471,35.9877918799729,152.468673706055
"33020",12.0007535010168,13.5679166666667,45.6463333333333,388.404981426593,5055.74754951148,8,2018,19,0.224997435603956,27.796573638916,27.4131031036377,230.85432434082,3.85429811573729,0.0558484939530204,38.4583249893607,22.7677745819092
"33021",11.2873255225955,13.19375,45.52975,358.962229454868,5043.39386777608,8,2018,19,0.172367983065498,27.7101554870605,24.8605785369873,241.470733642578,0.815374186182682,0.0323134561740203,38.5220147026303,23.1555652618408
"33022",10.6185171478537,13.06575,45.3905,348.594858120775,5028.151176744,8,2018,26,0.194677091304143,27.6377029418945,22.6868419647217,229.09391784668,0.061613656890199,0.0269551615097048,38.5524356064544,27.2879276275635
"33023",8.00372049056939,12.943,45.2675833333333,338.633639018362,5014.73628877694,8,2018,28.5,0.255611020211359,27.7211952209473,21.292552947998,217.166320800781,0.0867061701846632,0.0347305200231391,38.5565798135882,34.9042358398438
"33108",9.71072969088403,12.77775,45.2145,325.511635026688,5009.18129050287,8,2018,25,0.270134185764032,27.8346214294434,22.0336112976074,205.143264770508,0.331182828586042,0.0424374301347805,38.5458968181201,38.0783767700195
"33109",8.02292840918325,12.527,45.1484166666667,305.593794287502,5002.41122705406,8,2018,23,0.293408516327453,27.8685417175293,25.3965606689453,172.785446166992,1.68471412049474,0.0834627944084248,37.9780391575728,36.2365989685059
"33110",9.57421624305329,12.5895833333333,45.04525,310.173376360479,4990.80918584038,8,2018,27,0.344047641601584,27.797794342041,24.4295768737793,169.066314697266,1.16986712603022,0.0793479070312047,37.6620209877639,39.8849601745605
"33111",12.7904416696901,12.759,45.0819166666667,323.626790453074,4994.49159933794,8,2018,29.5,0.301601151284482,27.9775333404541,21.5411777496338,201.550552368164,0.626103071786371,0.0702973739548946,38.517204490269,40.2570152282715
"33115",13.390146943696,12.5419166666667,44.7928333333333,305.566621640895,4962.8729416824,8,2018,22.5,0.47748735035868,27.79319190979,23.723596572876,175.349014282227,1.26728969775213,0.0885824679698659,36.7105288282181,71.9546051025391
"33228",7.25083390531219,12.6649166666667,44.205,313.429735141814,4897.29365495887,8,2018,16.5,0.260776847900085,28.1503105163574,25.3485431671143,235.314834594727,1.88903615150753,0.0420397421605861,36.9011754638573,34.9057312011719
"54718",11.0950136429011,16.2233333333333,41.5803333333333,601.974723241974,4603.90165952821,7,2018,18,0.102950223159417,26.1758880615234,24.3215236663818,197.624771118164,1.35876702356327,0.0114367660704132,36.881926725466,14.674919128418
